2024-01-10 02:24:53,429 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Configure stats pid to 261642
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Loading settings from /home/dxlab/.config/wandb/settings
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Loading settings from /home/dxlab/jupyter/Minhwa/hyphae/yolov7/wandb/settings
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/dxlab/jupyter/Minhwa/hyphae/yolov7/train.py', 'program': 'train.py'}
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:_log_setup():524] Logging user logs to /home/dxlab/jupyter/Minhwa/hyphae/yolov7/wandb/offline-run-20240110_022453-ou3t1lyn/logs/debug.log
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:_log_setup():525] Logging internal logs to /home/dxlab/jupyter/Minhwa/hyphae/yolov7/wandb/offline-run-20240110_022453-ou3t1lyn/logs/debug-internal.log
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:init():564] calling init triggers
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'weights': 'yolov7-tiny.pt', 'cfg': 'cfg/training/yolov7-custom.yaml', 'data': 'data/custom_data.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.1, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 300, 'batch_size': 64, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/yolov7-custom83', 'total_batch_size': 64}
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:init():614] starting backend
2024-01-10 02:24:53,430 INFO    MainThread:261642 [wandb_init.py:init():618] setting up manager
2024-01-10 02:24:53,431 INFO    MainThread:261642 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-10 02:24:53,432 INFO    MainThread:261642 [wandb_init.py:init():624] backend started and connected
2024-01-10 02:24:53,436 INFO    MainThread:261642 [wandb_init.py:init():716] updated telemetry
2024-01-10 02:24:53,552 INFO    MainThread:261642 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-10 02:24:53,558 INFO    MainThread:261642 [wandb_init.py:init():800] starting run threads in backend
2024-01-10 02:24:58,764 INFO    MainThread:261642 [wandb_run.py:_console_start():2233] atexit reg
2024-01-10 02:24:58,764 INFO    MainThread:261642 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-10 02:24:58,764 INFO    MainThread:261642 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-10 02:24:58,764 INFO    MainThread:261642 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-10 02:24:58,764 INFO    MainThread:261642 [wandb_init.py:init():841] run started, returning control to user process
2024-01-10 02:24:58,765 INFO    MainThread:261642 [wandb_config.py:__setitem__():151] config set opt = {'weights': 'yolov7-tiny.pt', 'cfg': 'cfg/training/yolov7-custom.yaml', 'data': 'data/custom_data.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.1, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 300, 'batch_size': 64, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/yolov7-custom83', 'total_batch_size': 64} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f958eb3f4f0>>
